Age,Subscription_Type,Watch_Time_Hours,Churn,Country_Australia,Country_Brazil,Country_Canada,Country_France,Country_Germany,Country_India,Country_Japan,Country_Mexico,Country_UK,Country_USA,Favorite_Genre_Action,Favorite_Genre_Comedy,Favorite_Genre_Documentary,Favorite_Genre_Drama,Favorite_Genre_Horror,Favorite_Genre_Romance,Favorite_Genre_Sci-Fi
18,2,80.26,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
23,2,321.75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
60,0,35.89,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
44,2,261.56,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
68,1,909.3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
21,1,615.93,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
57,1,755.47,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
68,1,145.23,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
39,0,950.14,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
55,1,696.66,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
26,1,290.31,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
62,1,490.39,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
65,2,712.23,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,2,73.63,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
68,2,359.3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
39,2,768.19,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74,1,610.7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
59,2,813.46,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
63,2,963.64,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
67,1,460.6,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47,1,637.43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
46,2,620.74,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
40,0,451.59,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
46,0,388.91,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
37,0,418.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,2,95.46,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,1,253.6,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
37,2,936.05,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
59,0,971.97,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
67,0,542.57,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,2,81.89,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
