Age,Subscription_Type,Watch_Time_Hours,Churn,Usage_Intensity,Is_Heavy_User,Age_Group,Country_Australia,Country_Brazil,Country_Canada,Country_France,Country_Germany,Country_India,Country_Japan,Country_Mexico,Country_UK,Country_USA,Favorite_Genre_Action,Favorite_Genre_Comedy,Favorite_Genre_Documentary,Favorite_Genre_Drama,Favorite_Genre_Horror,Favorite_Genre_Romance,Favorite_Genre_Sci-Fi
18,2,80.26,0,4.224210526315789,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
23,2,321.75,0,13.40625,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
60,0,35.89,1,0.5883606557377049,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
44,2,261.56,0,5.812444444444444,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
68,1,909.3,0,13.178260869565216,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
21,1,615.93,0,27.99681818181818,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
57,1,755.47,0,13.025344827586208,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
68,1,145.23,0,2.104782608695652,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
39,0,950.14,0,23.7535,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
55,1,696.66,0,12.440357142857142,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
26,1,290.31,0,10.752222222222223,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
62,1,490.39,0,7.783968253968253,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
65,2,712.23,0,10.791363636363636,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,2,73.63,0,2.0452777777777778,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
68,2,359.3,0,5.207246376811594,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
39,2,768.19,0,19.20475,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74,1,610.7,0,8.142666666666667,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
59,2,813.46,0,13.557666666666668,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
